ハチが花にとまった。それが花粉を持っていたからだ。	ハチが花にとまった。花が花粉を持っていたからだ。	ハチが花にとまった。ハチが花粉を持っていたからだ。
クーガーはウサギと友達になろうとした。それが皆に愛されていたからだ。	クーガーはウサギと友達になろうとした。ウサギが皆に愛されていたからだ。	クーガーはウサギと友達になろうとした。クーガーが皆に愛されていたからだ。
ケビンはマイケルを見つめた。すると彼は怒った。	ケビンはマイケルを見つめた。するとマイケルは怒った。	ケビンはマイケルを見つめた。するとケビンは怒った。
ケビンはマイケルを見つめた。そして彼は彼の注意を引きつけた。	ケビンはマイケルを見つめた。そしてケビンは彼の注意を引きつけた。	ケビンはマイケルを見つめた。そしてマイケルは彼の注意を引きつけた。
キャベツは冷凍庫の中にあった。それは凍った。	キャベツは冷凍庫の中にあった。キャベツは凍った。	キャベツは冷凍庫の中にあった。冷凍庫は凍った。
キャベツは冷凍庫の中にあった。それは満杯になった。	キャベツは冷凍庫の中にあった。冷凍庫は満杯になった。	キャベツは冷凍庫の中にあった。キャベツは満杯になった。
デイビッドはビルを叩いた。メアリーが心から彼のことが好きだったからだ。	デイビッドはビルを叩いた。メアリーが心からビルのことが好きだったからだ。	デイビッドはビルを叩いた。メアリーが心からデイビッドのことが好きだったからだ。
デイビッドはビルを叩いた。メアリーが彼にそうしてくれと頼んだからだ。	デイビッドはビルを叩いた。メアリーがデイビッドにそうしてくれと頼んだからだ。	デイビッドはビルを叩いた。メアリーがビルにそうしてくれと頼んだからだ。
イングランドはスペインに勝った。彼らが周到に準備したからだ。	イングランドはスペインに勝った。イングランドが周到に準備したからだ。	イングランドはスペインに勝った。スペインが周到に準備したからだ。
イングランドはスペインに勝った。彼らが完璧に準備しなかったからだ。	イングランドはスペインに勝った。スペインが完璧に準備しなかったからだ。	イングランドはスペインに勝った。イングランドが完璧に準備しなかったからだ。
キャロラインは瞬く間にスーを負かした。彼女が自信を回復したからだ。	キャロラインは瞬く間にスーを負かした。キャロラインが自信を回復したからだ。	キャロラインは瞬く間にスーを負かした。スーが自信を回復したからだ。
キャロラインは瞬く間にスーを負かした。彼女が自信を失ったからだ。	キャロラインは瞬く間にスーを負かした。スーが自信を失ったからだ。	キャロラインは瞬く間にスーを負かした。キャロラインが自信を失ったからだ。
ファイヤーフォックスはインターネットエクスプローラーより多く利用される。それの方がより安定しているからだ。	ファイヤーフォックスはインターネットエクスプローラーより多く利用される。ファイヤーフォックスの方がより安定しているからだ。	ファイヤーフォックスはインターネットエクスプローラーより多く利用される。エクスプローラーの方がより安定しているからだ。
ファイヤーフォックスはインターネットエクスプローラーより多く利用される。それの方がより安定していないからだ。	ファイヤーフォックスはインターネットエクスプローラーより多く利用される。エクスプローラーの方がより安定していないからだ。	ファイヤーフォックスはインターネットエクスプローラーより多く利用される。ファイヤーフォックスの方がより安定していないからだ。
